,n,airfoils,tunnels_abs_dCL,tunnels_dCL,tunnels_abs_errCD,tunnels_errCD,NF_vs_uiuc_abs_dCL,NF_vs_uiuc_abs_errCD,NF_vs_uiuc_errCD,NF_vs_princeton_abs_dCL,NF_vs_princeton_abs_errCD,NF_vs_princeton_errCD
60k,185.0,11.0,0.053410289567759,0.013885764006251274,0.16169222083139276,0.06879675202967792,0.07643014664152364,0.18861613249019574,0.12098498833712298,0.08658920675400214,0.1637662520076388,0.1280766746961168
100k,288.0,15.0,0.0459914567422129,0.00243697124612031,0.13579350159371295,0.08643702776308508,0.07398685530416658,0.12337520434884401,-0.014853690424188125,0.08466115207059392,0.10595393467671603,0.025620165291115375
150k,161.0,8.0,0.0366531764397697,0.0031263664458769987,0.11148856744538184,0.062400888317113365,0.07446811767865351,0.08730148623554168,-0.02473153446764804,0.07742393314066487,0.09864125196045312,0.02273417211300114
200k,332.0,15.0,0.0440626331687081,0.015610995765102482,0.09430987111564298,0.033919466075304404,0.0656459080426071,0.0820120034164495,-0.005900391778088902,0.0778880523320507,0.07359928934405435,0.0025630754210611904
300k,275.0,13.0,0.04042046587174606,0.011207856225001816,0.06367493874567888,0.0019036897229945961,0.06160539271744312,0.06950334318909374,-0.02433782916011382,0.0765928996784712,0.07128839278259394,-0.037839886393504794
all,1241.0,15.0,0.0441353963298444,0.009701104040060322,0.10942202581543806,0.047906997220901484,0.06943842294116637,0.1054173949704573,0.004408339936787609,0.08040978973995883,0.0972860624104591,0.02028844997130904
