scheme,fold,model,n_test,mae,mean_deviance,spearman,mean_actual,mean_pred,coverage_80,coverage_95
airfoil_10fold,0,constant,745,0.07463615149993715,1.061495930653015,,0.09752380813224151,0.11652624467266721,0.8805369127516779,0.974496644295302
airfoil_10fold,0,confidence_only,745,0.06897228039910283,0.9993884313285074,0.10005174454273554,0.09752380813224151,0.10880823265456999,0.8442953020134228,0.9651006711409396
airfoil_10fold,0,confidence_Re,745,0.0690719306348797,0.9923976070400276,0.17444434835250366,0.09752380813224151,0.10943275721652042,0.8335570469798658,0.963758389261745
airfoil_10fold,0,full,745,0.06808032903359656,0.920903851912614,0.2842104560542856,0.09752380813224151,0.1128935817475352,0.8268456375838926,0.959731543624161
airfoil_10fold,0,six_bin_table,745,0.06752733419641425,0.9754284843866236,0.20197280029172132,0.09752380813224151,0.10733785363508744,,
airfoil_10fold,1,constant,844,0.0736088513855408,1.0016257706407825,,0.09900699577016243,0.11661168390859734,0.8803317535545023,0.9751184834123223
airfoil_10fold,1,confidence_only,844,0.06736449633269306,0.9302010234093058,0.13323490528462614,0.09900699577016243,0.10602577107201787,0.8495260663507109,0.9644549763033176
airfoil_10fold,1,confidence_Re,844,0.0661522357413513,0.9334014907831794,0.14660151280730613,0.09900699577016243,0.10253233815553782,0.830568720379147,0.957345971563981
airfoil_10fold,1,full,844,0.06601277309992999,0.897951512806879,0.2234549901753252,0.09900699577016243,0.10180980128283829,0.7938388625592417,0.9549763033175356
airfoil_10fold,1,six_bin_table,844,0.06756337777104664,0.932537472525316,0.1731773606281659,0.09900699577016243,0.10684437008348065,,
airfoil_10fold,2,constant,862,0.08451755827353538,0.9938606989226229,,0.12207087476896133,0.11394952860713146,0.8190255220417634,0.9489559164733179
airfoil_10fold,2,confidence_only,862,0.07296707119539944,0.8514320386565845,0.282877268849795,0.12207087476896133,0.11191493278528915,0.8225058004640371,0.9477958236658933
airfoil_10fold,2,confidence_Re,862,0.07174981246791584,0.8323459154403833,0.3114835206737324,0.12207087476896133,0.11036510983070054,0.8074245939675174,0.9454756380510441
