conf_bin,n,n_xfoil_converged,frac_converged,mean_conf,mean_abs_errCD_NF_WT,median_abs_errCD_NF_WT,bias_CD_NF_WT,mean_abs_errCD_XF_WT,median_abs_errCD_XF_WT,bias_CD_XF_WT,mean_abs_errCD_NF_XF,median_abs_errCD_NF_XF,bias_CD_NF_XF,mean_abs_dCL_NF_WT,bias_CL_NF_WT,mean_abs_dCL_XF_WT,bias_CL_XF_WT,mean_abs_dCL_NF_XF,bias_CL_NF_XF,frac_NF_closer_than_XF,corr_signed_NF_WT_vs_XF_WT,corr_conf_abs_NF_XF,corr_conf_abs_NF_WT,corr_conf_abs_XF_WT
"(0.0, 0.5]",158.0,158.0,1.0,0.3316227295016513,0.31576187601485994,0.2562003991798424,0.1632534602577839,0.4050416756271885,0.2960765048716907,0.2590724745189992,0.10101435475498971,0.0823000662080387,-0.05023425007060045,0.07502445369553397,-0.030267074460816158,0.08845063291139241,-0.04989240506329115,0.03413413209768011,0.019625330602474983,0.6835443037974683,0.9362785357010424,0.07752728001518261,0.18078867588258726,0.22322197750966466
"(0.5, 0.7]",98.0,98.0,1.0,0.6023178443228085,0.27636306945885897,0.22585747591289823,0.12326832470443028,0.3409858083397042,0.2565608447462484,0.20465880522742988,0.09687189749545122,0.06978102491960028,-0.050675464923197765,0.09482252430053469,0.0052410633559463364,0.09721020408163265,-0.010222448979591826,0.029433431300521173,0.015463512335538164,0.6020408163265306,0.8910814487232743,-0.1833945207391665,-0.11789064304926865,-0.1770769860362934
"(0.7, 0.8]",79.0,79.0,1.0,0.7546818111756166,0.2563930218045967,0.17727027652726943,0.11855096161742393,0.3192022672670083,0.24810725552050486,0.17422342237182903,0.10022441406677317,0.05308078413752688,-0.023147130448716177,0.10761115914979924,0.03283739144289497,0.10949240506329112,0.008224050632911385,0.029648431606172268,0.0246133408099836,0.6582278481012658,0.8913713491022722,-0.11790125233656919,0.05303112675845048,-0.14650996125431315
"(0.8, 0.9]",213.0,213.0,1.0,0.8574066110810353,0.21363352428949442,0.17595277070882145,0.07417484205707987,0.2725431747362268,0.22314049586776868,0.13736199947787683,0.08048462702160877,0.05233881180889076,-0.0373991647552841,0.09041038735717588,0.03197355989732131,0.09408920187793429,0.020850704225352113,0.02115919939296225,0.011122855671969197,0.676056338028169,0.9167335467377915,-0.13268129537943227,0.04582078940659385,-0.036144150410888636
"(0.9, 0.95]",631.0,631.0,1.0,0.9343191002037008,0.15100865487380646,0.10557574189954855,0.02909306533211797,0.16529904844495852,0.11899038461538469,0.058790960741387566,0.047583335774426166,0.03532171111216325,-0.02350285626348162,0.08271662520088228,0.038602894005693715,0.08518399366085579,0.030069572107765452,0.017304932793383077,0.008533321897928266,0.5625990491283677,0.9447201305148126,-0.09446467389757131,-0.12424834036973342,-0.11583634585327805
"(0.95, 1.0]",6742.0,6742.0,1.0,0.977001311657375,0.09381437022631386,0.06791466673737445,-0.012883297017222893,0.09680148771222596,0.06979865771812076,-0.009656616626062244,0.01956815787654036,0.014033890268607787,-0.002191550033226447,0.07963983816275735,0.056066122473456124,0.08233019875407893,0.056217442895283305,0.00900438742951753,-0.00015132042182718268,0.5428656185108276,0.9749062037071768,-0.19318600201652184,-0.08980780082046139,-0.10245451268774734
