design,source,alpha,CL,CD,L_over_D
B_nominal,NF_large,0.0,0.96130720366563,0.01574054347777442,61.07204652895192
B_nominal,NF_large,1.0,1.084662808278567,0.015559593310489487,69.71022870805643
B_nominal,NF_large,2.0,1.1763860800046795,0.015680772191347375,75.02092790135727
B_nominal,NF_large,3.0,1.2900678524248945,0.016767791962208768,76.93725299863262
B_nominal,NF_large,4.0,1.3861654343181051,0.016802885040997848,82.49568041059376
B_nominal,NF_large,5.0,1.4556772117504992,0.01956329118206417,74.40860529055966
B_nominal,NF_large,6.0,1.5303027906274882,0.021453705783683313,71.3304641192276
B_nominal,NF_large,7.0,1.5978386281893433,0.025115431345009778,63.619796380953666
B_nominal,NF_large,8.0,1.6442535638393876,0.03128381459742057,52.55924141600559
B_nominal,NF_large,9.0,1.6579719752647402,0.039877508776389674,41.576618653931
B_nominal,NF_xxlarge,0.0,0.9441684147632637,0.01413900128658545,66.77758885693397
B_nominal,NF_xxlarge,1.0,1.0666733310794632,0.014779139971399511,72.17424918795558
B_nominal,NF_xxlarge,2.0,1.1786562016051,0.016532393855102915,71.29374075740968
B_nominal,NF_xxlarge,3.0,1.2754975184348052,0.017272773685490034,73.84439474861439
B_nominal,NF_xxlarge,4.0,1.36770657530434,0.017976818472539555,76.08168138280847
B_nominal,NF_xxlarge,5.0,1.4553326312425596,0.018841486331911197,77.24086123596902
B_nominal,NF_xxlarge,6.0,1.5361914207514646,0.021735490326138883,70.6766398043506
B_nominal,NF_xxlarge,7.0,1.6133609662910149,0.026069427429144608,61.88708864726887
B_nominal,NF_xxlarge,8.0,1.6686235473497972,0.03094756359463071,53.91776778315749
B_nominal,NF_xxlarge,9.0,1.6955439240968149,0.03689044771616878,45.961597894993076
B_mfg,NF_large,0.0,0.8304677647150772,0.023263533021030017,35.69826491807337
B_mfg,NF_large,1.0,1.0059904942725575,0.02189368090005524,45.94889725783933
B_mfg,NF_large,2.0,1.1546149336224591,0.022646268891248694,50.98477542446926
B_mfg,NF_large,3.0,1.2655038668434737,0.023200276113732734,54.5469312795978
B_mfg,NF_large,4.0,1.3611928086484324,0.02168911757302014,62.75925260978198
B_mfg,NF_large,5.0,1.4310672847677177,0.022969917727088653,62.30180280881223
B_mfg,NF_large,6.0,1.4961032455004348,0.025511318703594972,58.64468485079169
B_mfg,NF_large,7.0,1.5642634595501563,0.028670021027070447,54.560945667712176
B_mfg,NF_large,8.0,1.6328457409857595,0.03254004411398169,50.179579820672835
B_mfg,NF_large,9.0,1.6939406970291786,0.03704417511549176,45.72758582821778
B_mfg,NF_xxlarge,0.0,0.987506658502918,0.019677819690327045,50.18374362828129
B_mfg,NF_xxlarge,1.0,1.0842807841573028,0.02060472516258079,52.62291904414289
B_mfg,NF_xxlarge,2.0,1.1892239470839172,0.023112859591104953,51.452912712782336
B_mfg,NF_xxlarge,3.0,1.2840158570529077,0.023890337417982094,53.74624203032133
B_mfg,NF_xxlarge,4.0,1.3772975171644433,0.022440888931412595,61.37446343475779
B_mfg,NF_xxlarge,5.0,1.4452494170824204,0.023680059650286665,61.03233853403425
B_mfg,NF_xxlarge,6.0,1.5075405954291101,0.026793586208592134,56.26498012220827
B_mfg,NF_xxlarge,7.0,1.5782868663138636,0.029705806344241286,53.130584910711484
B_mfg,NF_xxlarge,8.0,1.6511537054062917,0.032560247397365315,50.71072357822129
B_mfg,NF_xxlarge,9.0,1.7214039582719687,0.0352833396716357,48.78801083718859
