cor_name,x,y
DAE51,0.07466,-0.01597
DAE51,0.09341,-0.01617
DAE51,0.13122,-0.01593
DAE51,0.15017,-0.01559
DAE51,0.18808,-0.0146
DAE51,0.20704,-0.01399
DAE51,0.24496,-0.01261
DAE51,0.30186,-0.01026
DAE51,0.35876,-0.00777
DAE51,0.3967,-0.00613
DAE51,0.4536,-0.00376
DAE51,0.5105,-0.00155
DAE51,0.54844,-0.00021
DAE51,0.60534,0.00158
DAE51,0.64328,0.00257
DAE51,0.70019,0.00369
DAE51,0.75709,0.00426
DAE51,0.79502,0.00428
DAE51,0.85191,0.00372
DAE51,0.90873,0.00226
DAE51,0.92758,0.00155
DAE51,0.94633,0.00075
DAE51,0.96431,-0.00012
DAE51,1.0,-0.002
DF101,1.0,0.0
DF101,0.9968,0.00043
DF101,0.98727,0.00187
DF101,0.97163,0.00435
DF101,0.9503,0.00793
DF101,0.92375,0.01258
DF101,0.89245,0.01818
DF101,0.85697,0.0245
DF101,0.81783,0.03123
DF101,0.77558,0.03809
DF101,0.73072,0.04484
DF101,0.68375,0.05129
DF101,0.63525,0.05731
DF101,0.58567,0.06279
DF101,0.53552,0.06757
DF101,0.4852,0.07149
DF101,0.43513,0.07436
DF101,0.38578,0.07605
DF101,0.33765,0.07652
DF101,0.29125,0.0758
DF101,0.24708,0.07397
DF101,0.20557,0.07109
DF101,0.16715,0.06717
DF101,0.13208,0.06211
DF101,0.10063,0.05581
DF101,0.07308,0.04827
DF101,0.04975,0.0397
DF101,0.03082,0.03046
DF101,0.01637,0.02109
DF101,0.00647,0.01226
DF101,0.00107,0.00454
DF101,0.0,-0.00069
DF101,0.00478,-0.00767
DF101,0.01512,-0.0135
DF101,0.02987,-0.01893
DF101,0.04877,-0.02398
DF101,0.07192,-0.02849
DF101,0.0994,-0.03216
DF101,0.13128,-0.03475
DF101,0.16755,-0.03611
DF101,0.20782,-0.03629
DF101,0.25158,-0.03547
DF101,0.29833,-0.03397
DF101,0.34758,-0.03205
DF101,0.39883,-0.02988
DF101,0.45162,-0.02751
DF101,0.50533,-0.02496
DF101,0.55933,-0.02226
DF101,0.61295,-0.01953
DF101,0.66543,-0.01689
DF101,0.71618,-0.01444
DF101,0.76453,-0.01218
DF101,0.8099,-0.01004
DF101,0.85165,-0.00793
DF101,0.88918,-0.00585
DF101,0.92195,-0.00391
DF101,0.94943,-0.00229
DF101,0.97128,-0.00114
DF101,0.98715,-0.00046
DF101,0.99677,-0.00015
DF101,1.0,0.0
DF102,1.0,0.0
DF102,0.9968,0.00043
DF102,0.98727,0.00187
DF102,0.97164,0.00435
DF102,0.9503,0.00793
DF102,0.92376,0.01258
DF102,0.89246,0.01818
DF102,0.85698,0.0245
DF102,0.81785,0.03123
DF102,0.77561,0.03809
DF102,0.73074,0.04484
DF102,0.68378,0.05129
DF102,0.63529,0.05731
DF102,0.58571,0.06279
DF102,0.53556,0.06757
DF102,0.48525,0.07149
DF102,0.43519,0.07436
DF102,0.38584,0.07605
DF102,0.33772,0.07652
DF102,0.29132,0.0758
DF102,0.24716,0.07397
DF102,0.20565,0.07144
DF102,0.16723,0.0683
DF102,0.13217,0.06431
DF102,0.10072,0.0592
DF102,0.07318,0.0527
DF102,0.04985,0.0447
DF102,0.03091,0.03506
DF102,0.01647,0.02449
DF102,0.00657,0.01426
DF102,0.00117,0.00554
DF102,0.0,-0.00089
DF102,0.00488,-0.00767
DF102,0.01522,-0.0135
DF102,0.02996,-0.01893
DF102,0.04886,-0.02398
DF102,0.07201,-0.02849
DF102,0.09949,-0.03216
DF102,0.13137,-0.03475
DF102,0.16763,-0.03611
DF102,0.2079,-0.03629
DF102,0.25166,-0.03547
DF102,0.2984,-0.03397
DF102,0.34765,-0.03205
DF102,0.39889,-0.02988
DF102,0.45167,-0.02751
DF102,0.50538,-0.02496
DF102,0.55938,-0.02226
DF102,0.61299,-0.01953
DF102,0.66547,-0.01689
DF102,0.71621,-0.01444
DF102,0.76456,-0.01218
DF102,0.80992,-0.01004
DF102,0.85166,-0.00793
DF102,0.88919,-0.00585
DF102,0.92196,-0.00391
DF102,0.94944,-0.00229
DF102,0.97129,-0.00114
DF102,0.98715,-0.00046
DF102,0.99677,-0.00015
DF102,1.0,-7e-05
E193,1.0,0.0
E193,0.99661,0.00051
E193,0.98674,0.0022
E193,0.97108,0.00522
E193,0.95023,0.00932
E193,0.92452,0.01415
E193,0.89414,0.01957
E193,0.85945,0.02558
E193,0.82096,0.03214
E193,0.77923,0.03914
E193,0.73484,0.04642
E193,0.68859,0.05381
E193,0.64052,0.06112
E193,0.59186,0.06808
E193,0.54306,0.07436
E193,0.49458,0.07954
E193,0.44673,0.08332
E193,0.39979,0.08551
E193,0.35402,0.08603
E193,0.30967,0.08487
E193,0.26696,0.08213
E193,0.2262,0.07805
E193,0.1878,0.07284
E193,0.15218,0.06663
E193,0.11967,0.05957
E193,0.09061,0.05181
E193,0.06525,0.04352
E193,0.04383,0.03487
E193,0.02652,0.02608
E193,0.01344,0.0174
E193,0.00465,0.00915
E193,0.00026,0.0019
E193,0.0,0.0
E193,0.00129,-0.00375
E193,0.00819,-0.00838
E193,0.02044,-0.01252
E193,0.03791,-0.01588
E193,0.06049,-0.01841
E193,0.08801,-0.0201
E193,0.12026,-0.02098
E193,0.15697,-0.02112
E193,0.19778,-0.02061
E193,0.24227,-0.01955
E193,0.28998,-0.01807
E193,0.34035,-0.01628
E193,0.3928,-0.0143
E193,0.44672,-0.01224
E193,0.50145,-0.01019
E193,0.5563,-0.00824
E193,0.61059,-0.00645
E193,0.66364,-0.00486
E193,0.71479,-0.0035
E193,0.76339,-0.00239
E193,0.80882,-0.00153
E193,0.8505,-0.00091
E193,0.88788,-0.00048
E193,0.92048,-0.00018
E193,0.94794,0.0001
E193,0.97003,0.00032
E193,0.9864,0.00034
E193,0.99655,0.00014
E193,1.0,0.0
E193MOD,1.0,0.0
E193MOD,0.99661,0.00059
E193MOD,0.98674,0.00255
E193MOD,0.97108,0.00606
E193MOD,0.95023,0.01081
E193MOD,0.92452,0.01641
E193MOD,0.89414,0.0227
E193MOD,0.85945,0.02967
E193MOD,0.82096,0.03728
E193MOD,0.77923,0.0454
E193MOD,0.73484,0.05385
E193MOD,0.68859,0.06242
E193MOD,0.64052,0.0709
E193MOD,0.59186,0.07897
E193MOD,0.54306,0.08626
E193MOD,0.49458,0.09227
E193MOD,0.44673,0.09665
E193MOD,0.39979,0.09919
E193MOD,0.35402,0.09979
E193MOD,0.30967,0.09845
E193MOD,0.26696,0.09527
E193MOD,0.2262,0.09054
E193MOD,0.1878,0.08449
E193MOD,0.15218,0.07729
E193MOD,0.11967,0.0691
E193MOD,0.09061,0.0601
E193MOD,0.06525,0.05048
E193MOD,0.04383,0.04045
E193MOD,0.02652,0.03025
E193MOD,0.01344,0.02018
E193MOD,0.00465,0.01061
E193MOD,0.00026,0.0022
E193MOD,0.0,0.0
E193MOD,0.00129,-0.00435
E193MOD,0.00819,-0.00972
E193MOD,0.02044,-0.01452
E193MOD,0.03791,-0.01842
E193MOD,0.06049,-0.02136
E193MOD,0.08801,-0.02332
E193MOD,0.12026,-0.02434
E193MOD,0.15697,-0.0245
E193MOD,0.19778,-0.02391
E193MOD,0.24227,-0.02268
E193MOD,0.28998,-0.02096
E193MOD,0.34035,-0.01888
E193MOD,0.3928,-0.01659
E193MOD,0.44672,-0.0142
E193MOD,0.50145,-0.01182
E193MOD,0.5563,-0.00956
E193MOD,0.61059,-0.00748
E193MOD,0.66364,-0.00564
E193MOD,0.71479,-0.00406
E193MOD,0.76339,-0.00277
E193MOD,0.80882,-0.00177
E193MOD,0.8505,-0.00106
E193MOD,0.88788,-0.00056
E193MOD,0.92048,-0.00021
E193MOD,0.94794,0.00012
E193MOD,0.97003,0.00037
E193MOD,0.9864,0.00039
E193MOD,0.99655,0.00016
E193MOD,1.0,0.0
E205,1.0,0.0
E205,0.99655,0.00039
E205,0.98649,0.00174
E205,0.97049,0.00427
E205,0.94916,0.00778
E205,0.92285,0.01196
E205,0.89175,0.01668
E205,0.85624,0.02199
E205,0.81684,0.02786
E205,0.77412,0.03419
E205,0.72866,0.04088
E205,0.68108,0.04777
E205,0.63204,0.0547
E205,0.58218,0.06147
E205,0.53217,0.06782
E205,0.48265,0.07342
E205,0.4341,0.07785
E205,0.3868,0.08081
E205,0.34101,0.08214
E205,0.29699,0.08177
E205,0.25496,0.0797
E205,0.21508,0.07606
E205,0.17764,0.07111
E205,0.14302,0.06507
E205,0.11157,0.05811
E205,0.0836,0.0504
E205,0.05937,0.04211
E205,0.03909,0.03344
E205,0.02292,0.02461
E205,0.01097,0.01589
E205,0.00331,0.00766
E205,2e-05,0.00055
E205,0.0,0.0
E205,0.00233,-0.00506
E205,0.01065,-0.00988
E205,0.02419,-0.0142
E205,0.04291,-0.01776
E205,0.06669,-0.02053
E205,0.09534,-0.02252
E205,0.12864,-0.02378
E205,0.16627,-0.02436
E205,0.20783,-0.02435
E205,0.2529,-0.02384
E205,0.30097,-0.02292
E205,0.35149,-0.02168
E205,0.40388,-0.02021
E205,0.45751,-0.01859
E205,0.51174,-0.01689
E205,0.56591,-0.01516
E205,0.61938,-0.01345
E205,0.67149,-0.0118
E205,0.7216,-0.01023
E205,0.76911,-0.00876
E205,0.81343,-0.0074
E205,0.854,-0.00614
E205,0.89034,-0.00497
E205,0.92195,-0.0038
E205,0.9486,-0.00252
E205,0.97017,-0.00125
E205,0.98635,-0.00036
E205,0.99651,-3e-05
E205,1.0,0.0
E214,1.0,0.0
E214,0.99669,0.00104
E214,0.98737,0.00422
E214,0.97312,0.00916
E214,0.95431,0.01501
E214,0.93081,0.02139
E214,0.90279,0.02833
E214,0.87072,0.03576
E214,0.83508,0.04344
E214,0.79626,0.05102
E214,0.75457,0.05841
E214,0.7104,0.06544
E214,0.6643,0.07207
E214,0.61682,0.07813
E214,0.56852,0.08344
E214,0.51991,0.08776
E214,0.47142,0.09093
E214,0.42346,0.09281
E214,0.37645,0.09332
E214,0.33076,0.09241
E214,0.28674,0.09008
E214,0.24474,0.08639
E214,0.2051,0.08142
E214,0.16816,0.07532
E214,0.13424,0.06822
E214,0.10365,0.06028
E214,0.07665,0.05168
E214,0.05349,0.04258
E214,0.03434,0.03321
E214,0.01934,0.02379
E214,0.00856,0.01465
E214,0.0021,0.00619
E214,0.0,0.0
E214,5e-05,-0.00086
E214,0.0036,-0.00632
E214,0.01326,-0.01087
E214,0.0283,-0.01475
E214,0.04858,-0.01784
E214,0.0739,-0.02011
E214,0.10406,-0.02161
E214,0.13874,-0.02236
E214,0.17759,-0.02245
E214,0.22017,-0.02193
E214,0.26599,-0.02086
E214,0.31449,-0.01928
E214,0.36508,-0.01721
E214,0.41714,-0.01453
E214,0.4703,-0.011
E214,0.5245,-0.00678
E214,0.57932,-0.00245
E214,0.634,0.00155
E214,0.6877,0.00495
E214,0.73959,0.00756
E214,0.78883,0.00923
E214,0.83461,0.00994
E214,0.87612,0.0097
E214,0.91265,0.00862
E214,0.94352,0.00684
E214,0.96809,0.00461
E214,0.98582,0.00235
E214,0.99646,0.00065
E214,1.0,0.0
E374,1.0,0.0
E374,0.9964,0.00045
E374,0.9861,0.00204
E374,0.97,0.00485
E374,0.94864,0.00846
E374,0.92214,0.01264
E374,0.89077,0.01747
E374,0.85508,0.02297
E374,0.8156,0.02905
E374,0.77292,0.03559
E374,0.72769,0.04245
E374,0.68053,0.04943
E374,0.6321,0.05628
E374,0.58308,0.06268
E374,0.53397,0.0682
E374,0.48511,0.07251
E374,0.43681,0.07543
E374,0.38939,0.07684
E374,0.34312,0.07669
E374,0.29824,0.07506
E374,0.2551,0.07215
E374,0.21415,0.06815
E374,0.17583,0.06317
E374,0.14053,0.05732
E374,0.1086,0.05071
E374,0.08035,0.04349
E374,0.05605,0.03578
E374,0.03589,0.02778
E374,0.02003,0.0197
E374,0.00862,0.01183
E374,0.00178,0.00457
E374,0.00014,-0.00124
E374,0.00437,-0.00624
E374,0.01427,-0.01133
E374,0.02935,-0.01602
E374,0.04949,-0.02017
E374,0.07454,-0.02371
E374,0.10428,-0.02662
E374,0.13845,-0.02892
E374,0.17669,-0.03062
E374,0.21861,-0.03177
E374,0.26374,-0.0324
E374,0.31158,-0.03256
E374,0.36159,-0.0323
E374,0.4132,-0.03165
E374,0.4658,-0.03065
E374,0.51877,-0.02932
E374,0.5715,-0.02768
E374,0.62336,-0.0257
E374,0.67382,-0.02334
E374,0.72243,-0.0206
E374,0.76874,-0.0176
E374,0.81228,-0.01451
E374,0.85254,-0.01153
E374,0.88892,-0.00882
E374,0.92085,-0.00643
E374,0.94783,-0.00432
E374,0.96958,-0.00241
E374,0.98594,-0.00091
E374,0.99637,-0.00016
E374,1.0,0.0
E387,1.0,0.0
E387,0.98729,0.0018
E387,0.97198,0.00423
E387,0.95128,0.00763
E387,0.92554,0.01184
E387,0.8951,0.01679
E387,0.86035,0.02242
E387,0.82183,0.02866
E387,0.78007,0.0354
E387,0.73567,0.04249
E387,0.68922,0.04975
E387,0.64136,0.05696
E387,0.59272,0.0639
E387,0.54394,0.0702
E387,0.49549,0.07546
E387,0.44767,0.07936
E387,0.40077,0.08173
E387,0.35505,0.08247
E387,0.31078,0.08156
E387,0.26813,0.07908
E387,0.22742,0.07529
E387,0.18906,0.07037
E387,0.15345,0.06448
E387,0.12094,0.05775
E387,0.09185,0.05033
E387,0.06643,0.04238
E387,0.04493,0.03408
E387,0.02748,0.02562
E387,0.01423,0.01726
E387,0.007,0.011
E387,0.0009,0.00245
E387,0.0,0.0
E387,0.00091,-0.00286
E387,0.00717,-0.00682
E387,0.0189,-0.01017
E387,0.03596,-0.01265
E387,0.05827,-0.01425
E387,0.08569,-0.015
E387,0.118,-0.01502
E387,0.1549,-0.01441
E387,0.19599,-0.01329
E387,0.24083,-0.01177
E387,0.28892,-0.00998
E387,0.33968,-0.00804
E387,0.39252,-0.00605
E387,0.44679,-0.0041
E387,0.50182,-0.00228
E387,0.55694,-0.00065
E387,0.61147,0.00074
E387,0.66472,0.00186
E387,0.71602,0.00268
E387,0.76475,0.0032
E387,0.81027,0.00342
E387,0.85202,0.00337
E387,0.88944,0.00307
E387,0.92205,0.00258
E387,0.94942,0.00196
E387,0.97118,0.00132
E387,0.98705,0.00071
E387,1.0,0.0
FX63-137,1.0,0.0
FX63-137,0.98296,0.00822
FX63-137,0.96194,0.01642
FX63-137,0.93301,0.02581
FX63-137,0.89668,0.03615
FX63-137,0.85355,0.04757
FX63-137,0.80438,0.06001
FX63-137,0.75,0.07305
FX63-137,0.69134,0.08596
FX63-137,0.62941,0.09788
FX63-137,0.56526,0.10799
FX63-137,0.5,0.11562
FX63-137,0.43474,0.12031
FX63-137,0.37059,0.1218
FX63-137,0.33928,0.1213
FX63-137,0.30866,0.11998
FX63-137,0.27886,0.11785
FX63-137,0.25,0.11492
FX63-137,0.22221,0.11122
FX63-137,0.17033,0.10168
FX63-137,0.14645,0.09591
FX63-137,0.12408,0.08955
FX63-137,0.10332,0.0827
FX63-137,0.08427,0.07552
