sample_id,accepted_at_attempt,perturbation_rms_pct,min_thickness_B_nominal,min_thickness_B_mfg,total_attempts,acceptance_rate
0,4,0.6001232198647195,0.004256853970975951,0.00679346175786598,145,0.27586206896551724
1,5,0.3985356659820643,0.0040591911350535605,0.006595798921943591,145,0.27586206896551724
2,10,0.42517421038313524,0.0043765045219939375,0.0069131123088839695,145,0.27586206896551724
3,14,0.5436233379461726,0.004942596756814922,0.0074792045437049575,145,0.27586206896551724
4,22,0.5756257352053299,0.005185049028585583,0.007721656815475613,145,0.27586206896551724
5,25,0.5562974759407524,0.00403521432897329,0.006571822115863322,145,0.27586206896551724
6,31,0.6629233056517991,0.004051747935465532,0.0065883557223555675,145,0.27586206896551724
7,38,0.46985804264451264,0.005254013140653856,0.007790620927543888,145,0.27586206896551724
8,39,0.5144313781879014,0.0042924344580759916,0.006829042244966022,145,0.27586206896551724
9,44,0.7624757764496551,0.004078924796884774,0.006615532583774806,145,0.27586206896551724
10,45,0.5478882319778501,0.0055173889856415526,0.008053996772531583,145,0.27586206896551724
11,47,0.49936124800946047,0.0044181523907981,0.006954760177688134,145,0.27586206896551724
12,50,0.4586290182851253,0.006017268165466094,0.008553875952356123,145,0.27586206896551724
13,57,0.4240271586338667,0.005103382799672932,0.007639990586562965,145,0.27586206896551724
14,59,0.5887471439712817,0.0041702512665586985,0.0071971446423441335,145,0.27586206896551724
15,62,0.7943215927049992,0.004914335085675946,0.007450942872565978,145,0.27586206896551724
16,63,0.5764427380010019,0.005063625690479977,0.0076002334773700095,145,0.27586206896551724
17,68,0.31894341392019715,0.004643015543721165,0.007179623330611197,145,0.27586206896551724
18,70,0.37484162966595375,0.004343914317832885,0.006880522104722915,145,0.27586206896551724
19,71,0.5211721340378246,0.005617618521661636,0.008154226308551667,145,0.27586206896551724
20,72,0.64102226177032,0.004241565589553738,0.006778173376443769,145,0.27586206896551724
21,79,0.7403303370350092,0.004987559304573987,0.00783656153602855,145,0.27586206896551724
22,80,0.49071618159944813,0.004293826546998216,0.006830434333888247,145,0.27586206896551724
23,81,0.34325106736516825,0.0052780014112799156,0.00781460919816995,145,0.27586206896551724
24,84,0.7355728444563948,0.005207359072057894,0.007743966858947925,145,0.27586206896551724
25,85,0.43368804231874636,0.0050757266484473835,0.0076123344353374155,145,0.27586206896551724
26,91,0.3114328111181045,0.004105155376469376,0.006799721989353395,145,0.27586206896551724
27,95,0.4428000136367712,0.0052014977164134574,0.0077381055033034895,145,0.27586206896551724
28,108,0.5045060792655943,0.006390743294614718,0.008927351081504751,145,0.27586206896551724
29,112,0.25300791090318725,0.005327793617663926,0.007864401404553956,145,0.27586206896551724
30,115,0.9053172339384747,0.0056122116569057995,0.008148819443795835,145,0.27586206896551724
31,117,0.6980717421952619,0.004361259796483212,0.006897867583373242,145,0.27586206896551724
32,122,0.9060163720276275,0.004595916487781294,0.007132524274671323,145,0.27586206896551724
33,126,1.1132144546599712,0.005435871953768921,0.007972479740658955,145,0.27586206896551724
34,136,0.785773548800617,0.005209846369699222,0.0077464541565892536,145,0.27586206896551724
35,138,0.546653697159668,0.004119740273478316,0.006656348060368348,145,0.27586206896551724
36,140,0.6862288965165455,0.004643779692351181,0.00718038747924121,145,0.27586206896551724
37,141,0.5901314613476909,0.00411097202819701,0.0066475798150870385,145,0.27586206896551724
38,142,0.39615285043759507,0.004625812212569221,0.007162419999459251,145,0.27586206896551724
39,145,0.4594992636691824,0.00545538120734088,0.007991988994230911,145,0.27586206896551724
