x,y
1.0,0.00125
0.9999376947588287,0.0012810640033316695
0.9997507945630869,0.0013741196022736487
0.9994393459922217,0.001528758804423469
0.9990034266657467,0.0017443057413122128
0.9984431452238967,0.002019822787544169
0.9977586413005529,0.0023541190102978104
0.9969500854884439,0.0027457608342903875
0.9960176792966289,0.003193084777850843
0.9949616551002786,0.003694212088731175
0.9937822760827619,0.00424706508416923
0.9924798361700553,0.004849384978885758
0.9910546599574902,0.005498750967498417
0.9895071026288572,0.00619260031453456
0.9878375498678869,0.006928249196021061
0.9860464177621284,0.007702914031650688
0.9841341526992535,0.008513733045815479
0.9821012312558058,0.009357787799334862
0.9799481600784284,0.010232124441373011
0.9776754757575974,0.011133774442666654
0.9752837446938913,0.01205977458651135
0.9727735629568335,0.01300718601266263
0.9701455561363377,0.013973112131025294
0.9674003791867991,0.014954715246288297
0.9645387162638652,0.015949231761047393
0.9615612805539303,0.016953985852920607
0.9584688140963943,0.017966401550172626
0.9552620875987311,0.018984013159862034
0.9519419002444117,0.020004474031954964
0.9485090794937318,0.02102556367165159
0.9449644808775901,0.02204519323981419
0.9413089877842735,0.023061409507347135
0.9375435112392968,0.02407239735319124
0.9336689896783572,0.02507648091681707
0.929686388713456,0.0260721235343611
0.9255967008922472,0.0270579266025202
0.9214009454506752,0.02803262752575342
0.9171001680589588,0.028995096910054457
0.9126954405609882,0.029944335170440636
0.9081878607071996,0.03087946871932904
0.9035785518809927,0.031799745899181185
0.8988686628187597,0.03270453281531549
0.8940593673235961,0.03359330921381059
0.8891518639727649,0.034465664535216343
0.8841473758189853,0.03532129425768795
0.8790471500856227,0.03615999662354849
0.8738524578558546,0.03698166982161296
0.8685645937558895,0.03778630967435343
0.8631848756323197,0.03857400785467114
0.8577146442236856,0.03934495063220827
0.852155262826336,0.04009941812433317
0.8465081169546659,0.040837784002727966
0.8407746139958169,0.041560515583441204
0.8349561828589275,0.042268174206871144
0.8290542736190187,0.042961415794915844
0.8230703571556048,0.04364099145592039
0.8170059247861193,0.04430774799448115
0.8108624878942475,0.04496262817297965
0.8046415775532584,0.045606670565203025
0.798344744144428,0.046241008839776374
0.791973556970653,0.04686687031252262
0.7855296038653474,0.04748557361233805
0.77901449079672,0.048098525314701185
0.772429841467535,0.048707215410411925
0.7657772969104506,0.04931321149440642
0.7590585150790388,0.0499181515802367
0.7522751704345887,0.050523735469711444
0.7454289535287968,0.05113171463385215
0.7385215705824448,0.05174388059025977
0.7315547430601739,0.052362051792684765
0.7245302072414599,0.05298805908048347
0.7174497137878965,0.05362372976811971
0.710315027306892,0.054270870487309844
0.7031279259118944,0.05493124892617184
0.6958902007792465,0.05560657464018922
0.6886036557017879,0.05629847913830882
0.6812701066393122,0.05700849547346093
0.6738913812659912,0.05773803758964549
0.6664693185148804,0.05848837969695833
0.6590057681196191,0.059260635961060626
0.6515025901534364,0.06005574080423529
0.6439616545655832,0.06087443012099191
0.6363848407153015,0.06171722371193992
0.6287740369034482,0.06258440923518933
0.6211311399018915,0.06347602796479197
0.613458054480795,0.06439186263073665
0.6057566929339094,0.06533142759487562
0.598028974601989,0.06629396159210767
0.5902768253944511,0.06727842323648044
0.5825021773093996,0.06828348945799494
0.5747069679521304,0.06930755699827522
0.5668931400522396,0.0703487470524561
0.5590626409794539,0.071404913101253
0.5512174222583066,0.07247365193188714
0.5433594390817753,0.07355231780005539
0.5354906498240078,0.07463803963820921
0.527613015552254,0.07572774116880794
0.5197284995381264,0.0768181637357138
0.511839066768312,0.07790589162326671
0.5039466834548565,0.07898737959157019
0.4960533165451433,0.08005898231884634
0.48816093323168797,0.08111698540805479
0.4802715004618736,0.08215763758592921
0.4723869844477459,0.0831771836987106
0.46450935017599193,0.08417189809061935
0.4566405609182245,0.08513811793888315
0.4487825777416933,0.086072276113216
0.440937359020546,0.08697093312820245
0.43310685994776044,0.08783080776416693
0.4252930320478695,0.08864880594576918
0.41749782269060026,0.08942204748763113
0.40972317460554886,0.09014789034252298
0.40197102539801094,0.09082395201967727
0.39424330706609045,0.0914481278782116
0.38654194551920495,0.09201860604289355
0.37886886009810833,0.09253387873594751
0.3712259630965516,0.09299274986860566
0.3636151592846984,0.093394338788871
0.3560383454344167,0.09373808013669459
0.34849740984656363,0.09402371981362534
0.3409942318803809,0.09425130713009564
0.33353068148511933,0.09442118324898742
0.32610861873400876,0.09453396609810366
0.31872989336068774,0.0945905319757941
0.31139634429821195,0.09459199412243358
0.30410979922075343,0.09453967857494809
0.29687207408810545,0.09443509766141275
0.2896849726931079,0.09427992152727079
0.28255028621210343,0.0940759481133734
0.2754697927585398,0.0938250720283585
0.2684452569398261,0.093529252773501
0.2614784294175551,0.09319048278681683
0.2545710464712032,0.09281075577474245
0.24772482956541125,0.09239203579410103
0.24094148492096118,0.09193622753439382
0.2342227030895493,0.09144514823090094
0.2275701585324647,0.09092050161296264
0.22098550920327992,0.09036385425953383
0.21447039613465257,0.08977661469617895
0.20802644302934675,0.08916001552470572
0.20165525585557204,0.0885150988292972
0.19535842244674156,0.08784270505205084
0.18913751210575241,0.08714346547708272
0.1829940752138806,0.08641779840664679
0.176929642844395,0.08566590905595389
0.17094572638098116,0.08488779313643781
0.1650438171410723,0.08408324404101536
0.15922538600418312,0.08325186349030735
0.15349188304533407,0.08239307544668584
0.14784473717366398,0.08150614305420477
0.14228535577631435,0.08059018831771483
0.13681512436768023,0.07964421419445074
0.1314354062441105,0.078667128736718
0.12614754214414542,0.07765777089552221
0.12095284991437727,0.07661493757249375
0.11585262418101461,0.07553741149159174
