asb_name,n,airfoils,tunnels_abs_dCL,tunnels_dCL,tunnels_abs_errCD,tunnels_errCD,NF_vs_uiuc_abs_dCL,NF_vs_uiuc_abs_errCD,NF_vs_uiuc_errCD,NF_vs_princeton_abs_dCL,NF_vs_princeton_abs_errCD,NF_vs_princeton_errCD
clarky,51.0,1.0,0.07095829879975306,-0.05412197937015012,0.1324531130843871,0.08101266655816997,0.09833818370887236,0.07425351176978434,-0.053352446872625,0.062089428373208425,0.07044863079806019,0.0005641266675984245
e374,155.0,1.0,0.028058993274260768,-0.011940291847065772,0.06469112739080399,0.04564827507529508,0.07259610127347844,0.13738986467007291,0.002239941862360501,0.05250501818802431,0.09767838577657185,0.015222060370419628
e387,151.0,1.0,0.05140682611364885,0.03897745292079132,0.1465840431295369,0.12883748135407141,0.060854362131876054,0.14174728887497784,-0.007685279405552216,0.08162254791931675,0.0810200416638265,0.015929729548475043
fx63137,107.0,1.0,0.0772382429239974,0.056986762586686536,0.1717883871641074,0.12572960359487215,0.12425477669701618,0.15062756753096335,-0.06088441863512667,0.168861863701413,0.08943350485559397,0.019153931183744963
naca6409,30.0,1.0,0.034657522101178916,0.019211933330686524,0.08707161125650441,0.07567542594842419,0.09789912078873711,0.09843088155201637,0.05452754258997454,0.11671154114092488,0.1074864060602205,0.09825247658730545
rg15,61.0,1.0,0.03945657729615304,0.02474509885695149,0.09340723030662156,0.06491524571040015,0.058158325804474734,0.08635403426389032,0.022575389933765393,0.0772484884445129,0.0763703718399239,0.05435717856527292
sd2030,23.0,1.0,0.03934201806161918,-0.024680803289299325,0.1373474963355682,-0.027946556706920037,0.05159956983717593,0.05658986305590025,0.03776135256423348,0.07009318809193706,0.08532316438802809,0.006467693100527139
sd6060,77.0,1.0,0.03198658594829539,0.0010200466573328146,0.0959240515862534,0.01334745200424887,0.0652662652727622,0.13351919741907556,0.08047640430399776,0.05540218495506156,0.10553205661369942,0.0686390166040608
sd7003,83.0,1.0,0.020943678111165806,-0.004374839856721782,0.06575783378408638,-0.023958860802853244,0.05099777910148463,0.06927105038490865,0.031978523093275646,0.05496256643411821,0.06199375589156312,-0.0007279010600355977
sd7032,210.0,1.0,0.04650452990345866,-0.0012311275715555438,0.10335258103388718,0.010902814113475505,0.05820628003093028,0.07904319116328544,-0.0038234187051455377,0.07803301045000478,0.11896641385585076,-0.0049914755727623085
sd7037,69.0,1.0,0.04316340484708725,0.03135078948549773,0.1371415448835515,0.03898212489012365,0.0668359187236499,0.08398962139871341,0.02724764014484628,0.08382298408030411,0.1444571771998192,0.06704912778502373
sd7062,49.0,1.0,0.04365930067879116,0.027865633760790428,0.09612535702281433,0.0323952400925685,0.025312783077602024,0.08287487124920921,-0.08176233327085364,0.0714851461639608,0.08269987159835046,-0.06803082238578113
sd7080,65.0,1.0,0.030855001611585147,0.024995881741560352,0.0915912241895953,0.06489261174457196,0.09078270261476676,0.07547825491718577,-0.053228606280923,0.08114075725043868,0.07375112271458084,0.008150025347639877
sd8000,56.0,1.0,0.05792626775554271,-0.043839388656853925,0.13683055357748367,-0.024270144715309288,0.03774407857075923,0.09797198238404599,0.07063798132109479,0.07281537251832464,0.139489503186853,0.019833713386041868
sd8020,54.0,1.0,0.03872913281013706,0.01839749229363468,0.08683383195853468,0.02381150602857072,0.08151042000710602,0.10776543746271579,0.09667823091553775,0.0816977277376589,0.1013050635473255,0.0891277764687155
