quantity,n,n_propellers,bias,mae,mae_of_propeller_offsets,mae_within_propeller,propeller_offset_min,propeller_offset_max,share_of_variance_between,measured_scatter_rms,measured_scatter_mae
thrust,87,7,0.004678754653745536,0.08661002590872031,0.07871829654949994,0.03550977732314385,-0.2038311394981791,0.11991767363032028,0.8145798801385389,0.009296295823521577,0.005891337779735748
power,87,7,0.038145672625926365,0.12735357685630702,0.12490093131744417,0.0157442942281917,-0.19925009756084525,0.17150175522049393,0.9738740161053872,0.011937876244989319,0.008270814482478343
