x,r,dr,chord,vi,phi_deg,alpha_deg,Re,CL,CD,dT,dQ,dQ_i,dQ_p,confidence,inside_envelope,expected_errCD
0.16770833333333335,0.08385416666666667,0.01770833333333334,0.099375,4.0948680786443905,13.720243264181423,-2.5130074174615693,117512.37111440538,0.15066275593082118,0.017705104838542575,0.0913482368395128,0.0028521432511440657,0.0019253987777967086,0.0009267444733473563,0.9576902381901601,True,0.12288998452111333
0.203125,0.1015625,0.017708333333333326,0.098125,4.335679796664277,12.048044043955466,-1.3720581972356107,139603.1936689949,0.2512347960449165,0.012115793817932506,0.22332835610427326,0.005996595175989612,0.004891390761147064,0.0011052044148425486,0.9585161813607389,True,0.10495392373500198
0.23854166666666665,0.11927083333333333,0.017708333333333326,0.096875,4.626687742019113,10.975850390145906,-0.8311145434260494,161240.0709814836,0.32256551087731283,0.010558288421760815,0.3904703061235138,0.010624095486068767,0.009089960311686301,0.0015341351743824636,0.9685666706215814,True,0.08943144146777281
0.2739583333333333,0.13697916666666665,0.017708333333333326,0.09562500000000002,4.841968363379302,10.022284156376594,-0.4087983096567386,182227.30647117205,0.37104554462719325,0.01002716963770206,0.5839083589850023,0.0163749689206587,0.014203120677904899,0.002171848242753802,0.9765237021441711,True,0.0774366653663907
0.30937499999999996,0.15468749999999998,0.017708333333333326,0.094375,4.999141066062021,9.178327130164233,-0.09609128344437616,202589.82638524385,0.4015877790149881,0.009594306417186215,0.7941494611938832,0.022872036205916237,0.01992578158881051,0.0029462546171057278,0.9792653689493055,True,0.07107184252033467
0.3447916666666666,0.1723958333333333,0.017708333333333354,0.09312500000000001,5.126273629743111,8.45602677309104,0.09495907362881728,222356.19810854833,0.4196878811762204,0.009215816204320909,1.01580644957384,0.029977886729421636,0.02611986035043611,0.003858026378985523,0.9799692947834464,True,0.06753021107564078
0.38020833333333337,0.19010416666666669,0.017708333333333354,0.091875,5.23172167634692,7.834211141816876,0.18552470490297954,241529.72320028927,0.4282979985338127,0.008882151020758762,1.2422124962863301,0.037496482402839454,0.032585135323789066,0.004911347079050387,0.9798258421017055,True,0.06540242602678603
0.415625,0.2078125,0.017708333333333326,0.09062500000000001,5.318015915597487,7.290973949253518,0.1975118974663375,260108.53327776416,0.4294145952882013,0.008584469462724684,1.4666262740162919,0.045203406901911,0.03909483047008559,0.0061085764318254115,0.9793187257728525,True,0.06403467032597734
0.4510416666666667,0.22552083333333334,0.017708333333333326,0.08937500000000001,5.385146217593027,6.808019955642474,0.1492158910773819,278089.72460276954,0.42453437115562576,0.00832010615061212,1.6826576515492992,0.05286414922112235,0.045409696535783355,0.007454452685338996,0.9785524762228487,True,0.0632009316054271
0.4864583333333333,0.24322916666666666,0.017708333333333326,0.08812500000000001,5.431398694796633,6.370330401899415,0.05565544482044099,295470.258338893,0.41476352933329025,0.008083868734447946,1.8841373640637795,0.06022675165856462,0.051275310803357295,0.00895144085520733,0.9775292027561389,True,0.0628069915053418
0.521875,0.2609375,0.017708333333333326,0.08687500000000001,5.4517525746367514,5.963320321137995,-0.06858447441813845,312246.05735225114,0.40058888700279704,0.007871545588210335,2.063329740542561,0.06695663391068123,0.056355346940409015,0.010601286970272222,0.9759638787925669,True,0.06297356757213454
0.5572916666666666,0.2786458333333333,0.017708333333333326,0.085625,5.441984149489384,5.576873775714203,-0.21338792899434586,328414.8534493328,0.38248962884402327,0.007677242862368232,2.212950136100583,0.07272914328728025,0.06032799801504433,0.012401145272235922,0.9737546736799938,True,0.06367334812817366
0.5927083333333333,0.29635416666666664,0.017708333333333326,0.084375,5.397887699008165,5.203280513729885,-0.37104466701002786,343975.32354744244,0.36085024608058686,0.007511149365444155,2.3257870647629533,0.07726048915725253,0.06288626610880566,0.014374223048446858,0.9707481307006516,True,0.0648991903409393
0.628125,0.3140625,0.01770833333333338,0.083125,5.3154817881330185,4.836752288437094,-0.5357664417172385,358927.02810563066,0.33601346378266156,0.00738711412017099,2.394963362995232,0.08033277517560646,0.06376585589455976,0.0165669192810467,0.9670337716104981,True,0.06649498706602062
0.6635416666666667,0.33177083333333335,0.017708333333333326,0.081875,5.204783225696149,4.484736024445279,-0.7150001777254231,373276.2930736963,0.3099108625345605,0.0073852494385782145,2.4267304123146745,0.08248871812493368,0.06326662830832416,0.019222089816609514,0.9641417313390731,True,0.06767326845996414
0.6989583333333333,0.3494791666666667,0.017708333333333326,0.080625,5.080205353997355,4.156786553470274,-0.918300706750418,387029.52362494235,0.28454337744969066,0.007603694959038767,2.433314357302153,0.08469318624298594,0.06192439463990783,0.022768791603078112,0.9626870616686153,True,0.068285694153036
0.734375,0.3671875,0.017708333333333326,0.079375,4.9503732361356585,3.856153177962432,-1.1489173312425751,400188.954296481,0.2608083806652858,0.008193529197203689,2.422604518200171,0.08809212138593363,0.06008680408083677,0.02800531730509687,0.9613598970510352,True,0.06905822264696877
0.7697916666666667,0.3848958333333333,0.017708333333333326,0.078125,4.800588641818232,3.5682063644970636,-1.3922205177772071,412748.1185748618,0.23703141397959676,0.00890190187330753,2.379822549583004,0.09173386263937845,0.05725261731414041,0.034481245325238045,0.9600914004816113,True,0.0699850298746417
0.8052083333333333,0.40260416666666665,0.017708333333333326,0.07687500000000001,4.617763232697048,3.2820007638158093,-1.6372649170959521,424703.08526434575,0.21201628721917318,0.00939008645204028,2.2906414736895164,0.09396766293463041,0.053018959503825194,0.04094870343080521,0.9608476994109273,True,0.07011022908416824
0.840625,0.4203125,0.017708333333333326,0.075625,4.399503450506026,2.9956840791344708,-1.8821982324146131,436054.43061933154,0.1857566876505941,0.009703527195970162,2.150786091003966,0.09479072280056432,0.0474381521132329,0.04735257068733139,0.9619318023470813,True,0.07020275883305262
0.8760416666666666,0.4380208333333333,0.01770833333333338,0.074375,4.151166563691562,2.7127598593319058,-2.130524012612048,446804.80625832174,0.15873156378627917,0.00996605967126413,1.9620524111400068,0.09496274486511293,0.04084253505868453,0.054120209806428406,0.9610150166916835,True,0.07141926646393464
0.9114583333333334,0.4557291666666667,0.017708333333333326,0.073125,3.8815455369521112,2.438350936789569,-2.387365090069713,456956.89132290904,0.13101843427899199,0.010252294326809215,1.7226360360212072,0.09517833904584402,0.033541754743819305,0.061636584302024726,0.9579987617093383,True,0.07383027991362143
0.946875,0.4734375,0.017708333333333326,0.07187500000000001,3.6109315434333595,2.1837699230639664,-2.6640340763441097,466514.51676267566,0.1014853520393068,0.010601395823034867,1.4142506032188815,0.09585748693699102,0.025634040577366204,0.07022344635962482,0.952206709294319,True,0.07772854567781433
0.9822916666666667,0.49114583333333334,0.017708333333333326,0.070625,3.448951907451584,2.0107541645684464,-3.0222683178485896,475494.55665885535,0.06362624232365975,0.011161278283355237,0.9354873661807188,0.0973288216391971,0.01623102924274956,0.08109779239644753,0.9372778070426059,True,0.08587054251014856
