profile,worst_case_LD,mean_LD,peak_LD,safety_CL12,CLmax,stall_AoA,noise_TE_deltastar,max_thickness
efficiency,38.48676430785689,63.86345851860037,110.09103118466248,1.260965042033915,1.6470316874387159,9.0,0.015109857783454948,0.08002090543155872
balanced,33.93229456292778,66.61259795333928,110.67765625324014,1.5849396735935743,1.6944273142942214,10.0,0.01185044903714022,0.10415106104477087
community,17.839243493016127,60.11748368927171,106.92266015709937,1.5908523562348396,1.5946559615841607,11.5,0.011083105505111764,0.13738538807182343
