case,mean_dP,sd_dP,p05,p50,p95,mean_abs
correlated_signed,-1.8791919167869287,3.3381109945456253,-7.955661991343487,-1.6981049972924511,3.5177093221701607,2.8691207908724876
correlated_symmetric,-0.18586221712930528,3.578452216084823,-6.267298655952853,-0.07302076188937301,5.546575045654276,2.728177180717592
independent_signed,-2.4409859823875415,0.9690707881033799,-4.036287026116393,-2.366278589348676,-1.0305832190288362,2.4413354067536783
independent_symmetric,-0.31888086958105527,1.1212803916712555,-2.2342067025123216,-0.22128285967851974,1.370680596018822,0.8847779401443931
