n_points,n_airfoils,n_polars,r_total,r_between_airfoil,r_within_airfoil,r_between_polar,r_within_polar,conf_var_share_between_airfoil,conf_var_share_between_polar,rho_airfoil_spearman,rho_airfoil_p,tunnel
3995,55,352,-0.42566690434186333,-0.6871293084573046,-0.399887221519421,-0.36703287573531196,-0.4497895503194589,0.25502402444893374,0.3216675106397463,-0.6505772005772007,7.593261197396961e-08,UIUC
4216,54,311,-0.26479362862018235,-0.07432841661678366,-0.2816919514611848,-0.07144272031008757,-0.3053064447253753,0.07082936980068047,0.14277667179751352,-0.09601677148846958,0.48977613493710415,Princeton
8211,94,663,-0.37125648586180077,-0.5962188377339338,-0.3550613527904859,-0.3462553227011971,-0.3926365082875761,0.21688744210561206,0.2901982999550091,-0.4143409312574504,3.301024304683421e-05,pooled
