label,rpm_lo,rpm_hi,Re75_lo,Re75_hi,CT_lo,CT_hi,CT_change_pct,CT_raw_max_over_min_pct,CP_lo,CP_hi,CP_change_pct,CP_raw_max_over_min_pct
DA4002 9x2.85 2b,1490.0,6436.667,18980.436890231744,82301.84105481156,0.07769947896248586,0.08566434286140201,10.250858828489285,15.863211611107442,0.03809165787080038,0.033259499203484755,-12.685608706518847,15.482950138074415
DA4002 9x4.76 2b,1583.333,5923.333,20224.478050225876,76110.09713502327,0.10492743389552439,0.11585884993036144,10.418072403944812,12.94905306526999,0.05671817168754523,0.05160157684606437,-9.021085640185422,10.692161067429119
DA4002 9x6.75 2b,1546.667,5943.333,19535.01726011199,75570.84536460107,0.12636139408697541,0.14051604181794378,11.201718557509444,11.529329553485645,0.0894437374218648,0.07786055862527658,-12.950240151477255,13.82692307692308
DA4002 9x8.95 2b,1443.333,5180.0,18369.552408105807,65937.93610743342,0.14677979725271617,0.15154312614702142,3.245221061386294,4.175982938323419,0.13475895610782718,0.11963620244590557,-11.222076883573628,13.39872011228258
DA4022 9x6.75 3b,1317.778,5460.0,21544.474676492904,90138.36999199176,0.20328847517285809,0.2067815785853926,1.7182987916871673,5.257409345376596,0.12921367137741857,0.11416835719257001,-11.643747928888182,13.580775891310948
DA4022 9x6.75 4b,1505.0,4938.333,24669.13103828243,81788.21732504171,0.24304715310036729,0.24818114305306604,2.1123431758851563,4.262486998193427,0.16124551583947655,0.14853401423638157,-7.883320994643695,10.006078778233874
DA4022 9x6.75 2b,1326.667,5940.0,21638.581692711483,97698.44527093742,0.15045030734998788,0.155382647363852,3.2783848040869534,7.904686477738365,0.09092681031857297,0.07888481521195667,-13.243613258208143,18.479509008117212
