label,pitch_in,blades,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf,n
DA4002 9x2.85 2b,2.85,2,61803.474760600424,0.0777482700441446,0.009718533755518075,0.013035650437570006,0.010607096583045497,0.0013453100442717897,0.13642871509582025,0.5742366335034108,0.10320237188889907,0.04392367151523506,0.035031866459185455,0.3022884169198162,0.03075865947648799,1.2355814155631883,0.020721975098968958,0.021084820566179656,1.3912963138545729,1.3851310539663049,0.20102111537778447,14
DA4002 9x4.76 2b,4.76,2,58835.27501913216,0.07668020214992989,0.009585025268741236,0.012523685279439431,0.014341429573060031,0.0020952767121988187,0.1870291049183566,0.5797089107876805,0.16730512348778895,0.07030565073528461,0.05575572982240897,0.2821339760826019,0.0508876722270995,1.297905212101098,0.02128548028318782,0.021654486013562693,1.5064651358536276,1.5026316751583153,0.12729282201994166,12
DA4002 9x6.75 2b,6.75,2,58255.79155452282,0.07650344260111777,0.009562930325139721,0.012744210998496755,0.017617905958174678,0.0033036307314923533,0.23028906097772475,0.5011711508226605,0.2592259914624792,0.12945651936018612,0.10999109854484217,0.3085651946623574,0.06877067775944871,1.3479325944150402,0.0214225064635208,0.021796108203564424,1.83476572182947,1.8318764226766329,0.08248937452141615,12
DA4002 9x8.95 2b,8.95,2,53364.50541765346,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.019300765940372246,0.00502077253465152,0.25144369478396666,0.3777994666493082,0.3948351038525382,0.24572652425155972,0.223360237311413,0.52866804404367,0.16719678670387084,1.402328627034664,0.02256137666192723,0.022969819025107488,2.4972252025724098,2.4944871409294227,0.05706210198040153,9
DA4022 9x6.75 3b,6.75,3,66005.84407559762,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.02609373974914459,0.004654159316743608,0.1757750928269635,0.6404514801336211,0.18823656295658803,0.06768106968181477,0.04959774569059879,0.19847159796095837,0.043470443646298054,1.2686434962495985,0.01995007060594784,0.02030716766059335,1.3959889756290145,1.3930174113051146,0.1059768369058559,14
DA4022 9x6.75 4b,6.75,4,61300.79307048905,0.19793278125649494,0.024741597657061867,0.03296673960780561,0.03131088031600545,0.006058325703850397,0.1581894626915319,0.6467121868733527,0.18377084831330884,0.06492655860414888,0.04709991514777489,0.19698083034182173,0.0423845224957132,1.2259721224795177,0.02086908531872253,0.021229390850840954,1.3707361249079888,1.3676968676337087,0.11353876666295518,11
DA4022 9x6.75 2b,6.75,2,69197.56285079624,0.09896639062824747,0.012370798828530934,0.016483369803902807,0.019360750927614936,0.003194113917198198,0.1956295546873152,0.596490222750085,0.19377796865553062,0.07819294905214341,0.06085519611163535,0.22745196658046682,0.050101706470494264,1.3550349644533968,0.019514017691203724,0.019844657520668947,1.5080323295209292,1.505147390725605,0.10070716748458151,15
