tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,3.92,0.519,0.0337,0.5328658885647272,0.0362087909421779,0.9466881999771174,0.0138658885647271,0.0744448350794635,0.4724,0.03624,True,0.07444483507946296,0.07537091988130565,-0.0008611770922212637,0.013865888564727147,-0.04660000000000003,0.06046588856472718
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,4.95,0.669,0.0331,0.643544757236438,0.0378090404667233,0.943859415146516,-0.025455242763562,0.1422670835868078,0.5888,0.03833,True,0.14226708358680676,0.15800604229607268,-0.01359143055770159,-0.025455242763562036,-0.08020000000000005,0.05474475723643801
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,6.02,0.789,0.0324,0.8041026713483284,0.0329901436248546,0.956650415690199,0.0151026713483283,0.0182143094090953,0.7762,0.03571,True,0.01821430940909259,0.10216049382716051,-0.07616511831826941,0.015102671348328323,-0.012800000000000034,0.027902671348328356
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,7.01,0.887,0.0277,0.914443088434334,0.0271558896574372,0.9743546928324296,0.027443088434334,-0.0196429726556956,0.9318,0.02675,True,-0.01964297265569668,-0.03429602888086641,0.015173445137839307,0.027443088434333962,0.04479999999999995,-0.01735691156566599
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,8.0,0.958,0.0266,0.9532592752344484,0.0279608731340377,0.9780508754796732,-0.0047407247655514,0.051160644136757,0.9374,0.02673,True,0.051160644136755626,0.004887218045112844,0.04604837762954351,-0.0047407247655515405,-0.02059999999999995,0.01585927523444841
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,9.0,0.987,0.029,0.996454546670378,0.0362881275509332,0.9681039178932098,0.009454546670378,0.2513147431356279,0.9867,0.03621,True,0.25131474313562746,0.2486206896551723,0.002157623610416988,0.009454546670378039,-0.00029999999999996696,0.009754546670378006
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,10.01,1.025,0.0364,1.08641572493573,0.0472084623505385,0.946716224511468,0.0614157249357301,0.2969357788609498,1.0994,0.04929,True,0.29693577886094774,0.3541208791208791,-0.04223042502457902,0.06141572493573011,0.07440000000000002,-0.012984275064269912
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,-4.22,-0.295,0.0205,-0.3530271046958576,0.0244178330190204,0.9478030598055583,-0.0580271046958575,0.1911138058058751,-0.3361,0.02474,True,0.19111380580587312,0.20682926829268294,-0.013022109174599911,-0.05802710469585759,-0.041100000000000025,-0.016927104695857564
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,-3.31,-0.181,0.0156,-0.2058830197035034,0.0189384630558292,0.9464089962478788,-0.0248830197035034,0.2140040420403352,-0.2167,0.01889,True,0.2140040420403335,0.21089743589743598,0.0025655402768237673,-0.0248830197035034,-0.03570000000000001,0.010816980296496609
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,-2.23,-0.012,0.0152,0.0820373842712887,0.0160507898776327,0.9346338112035144,0.0940373842712887,0.0559730182653091,0.12,0.01708,True,0.055973018265309114,0.12368421052631588,-0.06025820388567347,0.0940373842712887,0.132,-0.03796261572871129
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,-1.1,0.152,0.0189,0.2696503818011276,0.0160405067837976,0.9449946337523014,0.1176503818011276,-0.1512959373652036,0.3065,0.01591,True,-0.15129593736520638,-0.15820105820105818,0.00820281482071645,0.11765038180112761,0.1545,-0.03684961819887239
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,-0.24,0.236,0.02,0.3372818386144361,0.0160826083464209,0.952500674816824,0.1012818386144361,-0.1958695826789537,0.3842,0.01612,True,-0.195869582678955,-0.19400000000000006,-0.002319581487537115,0.10128183861443613,0.1482,-0.04691816138556387
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,0.82,0.312,0.022,0.4290437188402202,0.0167698909047048,0.9609116805644432,0.1170437188402201,-0.2377322316043228,0.4688,0.01687,True,-0.23773223160432724,-0.23318181818181816,-0.005934149098707754,0.11704371884022019,0.1568,-0.039756281159779805
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,1.84,0.397,0.0249,0.5220065327120974,0.0177901152873394,0.9671675429066352,0.1250065327120973,-0.2855375386610672,0.5453,0.01801,True,-0.2855375386610682,-0.27670682730923685,-0.012209034573048345,0.12500653271209738,0.1483,-0.023293467287902603
UIUC,e374,e374|E374B.DRG|101600,e374,101600,100k,2.84,0.49,0.0268,0.6129449834032288,0.0188651893050447,0.97156933459683,0.1229449834032287,-0.2960750259311673,0.6274,0.01889,True,-0.29607502593116797,-0.29514925373134326,-0.0013134301193913048,0.12294498340322879,0.13739999999999997,-0.014455016596771175
