statistic,estimate,n_points,n_airfoils,ci_lo,ci_hi
tunnels_abs_dCL,0.0441353963298444,1241,15,0.03606453174288809,0.052908402180062895
tunnels_dCL,0.009701104040060322,1241,15,-0.004960659600512054,0.02419622417562293
tunnels_abs_errCD,0.10942202581543806,1241,15,0.09129039414452932,0.12897089187694463
tunnels_errCD,0.047906997220901484,1241,15,0.019446376792691233,0.07788050474124524
NF_vs_uiuc_abs_dCL,0.06943842294116637,1241,15,0.05844363043326205,0.08315496024400608
NF_vs_uiuc_abs_errCD,0.1054173949704573,1241,15,0.0863083622146632,0.12211637400964875
NF_vs_princeton_abs_dCL,0.08040978973995883,1241,15,0.06630509043540501,0.09983369471376705
NF_vs_princeton_abs_errCD,0.0972860624104591,1241,15,0.08424033160404953,0.10913438008479878
