dap_name,chord_in,x,y
DAE51,11.986,0.99603,-0.00073
DAE51,11.986,0.99935,-0.00034
DAE51,11.986,1.0,0.0
DF101,11.97,1.0,0.0
DF101,11.97,0.9939,0.00111
DF101,11.97,0.97698,0.00417
DF101,11.97,0.95507,0.0077
DF101,11.97,0.92393,0.01245
DF101,11.97,0.88698,0.01848
DF101,11.97,0.83138,0.0278
DF101,11.97,0.77287,0.03677
DF101,11.97,0.7138,0.04498
DF101,11.97,0.6451,0.05379
DF101,11.97,0.58169,0.06157
DF101,11.97,0.49163,0.0698
DF101,11.97,0.40111,0.07482
DF101,11.97,0.32064,0.07634
DF101,11.97,0.25879,0.0751
DF101,11.97,0.17826,0.07096
DF101,11.97,0.1325,0.06429
DF101,11.97,0.10424,0.05844
DF101,11.97,0.08069,0.05238
DF101,11.97,0.05829,0.04483
DF101,11.97,0.03522,0.03436
DF101,11.97,0.02415,0.02767
DF101,11.97,0.01375,0.02014
DF101,11.97,0.00652,0.01346
DF101,11.97,0.00326,0.0092
DF101,11.97,0.00062,0.00373
DF101,11.97,0.0,0.0
DF101,11.97,0.00235,-0.00593
DF101,11.97,0.00764,-0.00991
DF101,11.97,0.02123,-0.0157
DF101,11.97,0.03554,-0.02007
DF101,11.97,0.06937,-0.02811
DF101,11.97,0.11253,-0.03378
DF101,11.97,0.16135,-0.03677
DF101,11.97,0.22347,-0.038
DF101,11.97,0.29035,-0.03647
DF101,11.97,0.36835,-0.03394
DF101,11.97,0.42578,-0.03165
DF101,11.97,0.48012,-0.0294
DF101,11.97,0.53354,-0.02684
DF101,11.97,0.60846,-0.02337
DF101,11.97,0.67731,-0.02003
DF101,11.97,0.75184,-0.01683
DF101,11.97,0.81039,-0.01366
DF101,11.97,0.85031,-0.01199
DF101,11.97,0.89796,-0.00994
DF101,11.97,0.92453,-0.00885
DF101,11.97,0.94743,-0.00665
DF101,11.97,0.9711,-0.00402
DF101,11.97,0.98967,-0.00229
DF101,11.97,0.99933,-0.00083
DF101,11.97,1.0,0.0
DF102,11.981,1.0,0.0
DF102,11.981,0.99758,0.00023
DF102,11.981,0.98684,0.00242
DF102,11.981,0.95862,0.00673
DF102,11.981,0.92933,0.01107
DF102,11.981,0.9205,0.01242
DF102,11.981,0.90822,0.01428
DF102,11.981,0.84695,0.02491
DF102,11.981,0.7796,0.03587
DF102,11.981,0.71918,0.04438
DF102,11.981,0.64174,0.05446
DF102,11.981,0.55087,0.06519
DF102,11.981,0.46035,0.07269
