label,e_pct,d_power_pct_fixed_mass,iterations,converged,m_total_kg,m_battery_kg,m_structure_kg,payload_kg,thrust_per_rotor_N,power_rotor_W,power_elec_W,energy_Wh,induced_frac,Re_75,FM,d_mass_g,d_mass_pct,d_battery_g,d_power_pct,amplification,loop_gain
model,0.0,0.0,53,True,15.708817037733706,6.925290546748345,6.283526815093483,2.5,38.51271765077281,300.2113452015408,1412.7592715366625,1059.5694536524968,0.6310624361424186,405729.8244073257,0.5739197430437217,0.0,0.0,0.0,0.0,,
5th percentile,-19.06515464443116,-8.02134119837902,65,True,18.281765039399236,8.469059340542774,7.312706015759694,2.5,44.82071778090613,367.13372241252927,1727.688105470726,1295.7660791030444,0.6463221794312545,405880.08748131583,0.5892043721934482,-2572.9480016655302,-14.073848975307042,-1543.7687937944293,-18.22833837524499,0.7381974727080405,2.2724801157852053
median,-4.497993985974694,-1.7140291071626228,54,True,16.200735089902228,7.2204413973463195,6.480294035960892,2.5,39.71873469234742,313.00613457496297,1472.9700450586492,1104.7275337939868,0.6333673933521764,405757.5978241798,0.5765172029169932,-491.918052168522,-3.0363934070814484,-295.15085059797474,-4.087712015867191,0.6750550170919084,2.3848556589764836
95th percentile,10.209026939350037,3.5521805673103595,50,True,14.754999926739497,6.3530002380792325,5.901999970695799,2.5,36.17428000788997,275.4025603207347,1296.0120485681634,972.0090364261225,0.6277376730623097,405675.85728921066,0.569513322298145,953.8171109942084,6.464365406506507,572.2903086691123,9.008189630449937,0.633200935300702,2.5359605064420356
