tunnel,Re_bin,n,n_xfoil_converged,frac_converged,mean_conf,mean_abs_errCD_NF_WT_all,median_abs_errCD_NF_WT_all,bias_CD_NF_WT_all,mean_abs_dCL_NF_WT_all,bias_CL_NF_WT_all,mean_abs_errCD_NF_WT,median_abs_errCD_NF_WT,bias_CD_NF_WT,mean_abs_errCD_XF_WT,median_abs_errCD_XF_WT,bias_CD_XF_WT,mean_abs_errCD_NF_XF,median_abs_errCD_NF_XF,bias_CD_NF_XF,mean_abs_dCL_NF_WT,bias_CL_NF_WT,mean_abs_dCL_XF_WT,bias_CL_XF_WT,mean_abs_dCL_NF_XF,bias_CL_NF_XF,frac_NF_closer_than_XF,corr_signed_NF_WT_vs_XF_WT,corr_conf_abs_NF_XF,corr_conf_abs_NF_WT,corr_conf_abs_XF_WT
Princeton,60k,759.0,744.0,0.9802371541501976,0.9606916235190885,0.16839450309162832,0.1316721391960905,0.11571883503305462,0.10079823926393804,0.021978306859922175,0.16660044261913043,0.1286337132768825,0.11783547820916498,0.17282877061205126,0.12455584135909545,0.12724012517549763,0.029049666090204287,0.0227296518122439,-0.005751922849603705,0.10035117406418854,0.021648516776093567,0.10337782258064512,0.021118682795698913,0.014824232642130486,0.0005298339803946569,0.5147849462365591,0.9418638784828284,-0.28340166055386856,-0.39145829534414456,-0.37138388697760316
Princeton,100k,1018.0,1002.0,0.9842829076620825,0.9524235825138169,0.11686928132001405,0.08207844683030326,0.027386719695770136,0.09176181657785097,0.045967879633080466,0.11653195307979322,0.08176573986065624,0.02684791672846997,0.1229247492509272,0.08004854368932035,0.037522865939173394,0.025855068166399438,0.018191932762474,-0.007500003772589203,0.09212471407881888,0.04660177465408648,0.09397315369261473,0.046940219560878224,0.009978154621855823,-0.0003384449067917412,0.5269461077844312,0.9524557379939562,-0.3634104191175517,-0.29583769888404426,-0.38532687722828307
Princeton,150k,810.0,796.0,0.9827160493827161,0.950662847390396,0.10191754322630833,0.0720479503424626,0.006752826474957816,0.08191808730487425,0.04920276083008831,0.09697116100717865,0.0680988401800195,0.00337661622964995,0.10123631212173322,0.0695348557692307,0.011416245558787242,0.0227210170902301,0.01632850310429835,-0.006292002552027526,0.08226076036046741,0.05016772424948565,0.08346582914572859,0.04968542713567837,0.00824779003219661,0.0004822971138072851,0.5188442211055276,0.9673943995681267,-0.5902227893001495,-0.3278481444463789,-0.43485479083340106
Princeton,200k,1157.0,1131.0,0.9775280898876404,0.953887377578599,0.09223191467650081,0.0589839537690639,-0.01522234757321002,0.08108745475662174,0.057297141553694274,0.09079170190227621,0.0588045966729388,-0.014215713090228548,0.09351394024889215,0.0621621621621621,-0.008739395862601277,0.022653287388428995,0.0134922441510134,-0.0042454111380986655,0.08119679751034467,0.057666527807776376,0.08262767462422631,0.05791927497789564,0.0077308183182048735,-0.0002527471701192586,0.5181255526083113,0.9491525215731222,-0.2499517851239418,-0.23931989233105294,-0.26817951250961786
Princeton,300k,958.0,933.0,0.9739039665970772,0.958226462990257,0.08982488985431489,0.06577380022710275,-0.043907725132295315,0.07656629718801683,0.04898037128393602,0.08843156906308164,0.065663606340663,-0.04319895548029556,0.09187777452230378,0.0660869565217391,-0.04105093220868516,0.022558422224545946,0.0127046276186257,-0.0005192726153579404,0.07663957570943623,0.04904211025937672,0.07852122186495172,0.05046613076098606,0.006984800274782016,-0.0014240205016093216,0.5476956055734191,0.9411264490910879,-0.20538294204882512,-0.2800368464235984,-0.3323030688585726
UIUC,40-60k,565.0,543.0,0.9610619469026549,0.9154954089957731,0.216947359037742,0.1517028581283218,0.1301098404152748,0.08376068292629824,0.012911374778639718,0.20512539632273785,0.1487888679987717,0.11812469886903987,0.2200978251791652,0.1538961038961039,0.13970643321115245,0.03337547429444035,0.0248453643061148,-0.015579491059071719,0.08212731779094051,0.01606555709510409,0.08824585635359111,0.0032697974217311184,0.020737422720788785,0.012795759673372955,0.576427255985267,0.9728615247704349,-0.39641148599209214,-0.4672226949170867,-0.4924305377651319
UIUC,100k,1105.0,1056.0,0.9556561085972851,0.9046295366329763,0.13898182667093448,0.0950347562595631,0.015250151094717883,0.08514158612926363,0.046370589481993886,0.12495722555024676,0.08816768233814876,0.005122633783979075,0.14883590454643536,0.09755063354285134,0.03134147651030321,0.03913918087512449,0.02226697754389865,-0.017107954914259208,0.08266461987099981,0.04711702120628184,0.08721240530303026,0.039519981060606044,0.016620752831097103,0.007597040145675782,0.6003787878787878,0.9275483601983824,-0.34333857057583317,-0.36092282498589523,-0.43322259316802986
UIUC,200k,1183.0,1125.0,0.9509721048182587,0.9125741620835817,0.09952124565292729,0.0730928543638236,-0.0034435583662400476,0.07123846337243829,0.04947678736277842,0.09408869251590303,0.0719238151183128,-0.006965901717302136,0.1081017009022395,0.0701357466063349,0.00628899361060077,0.03590370919982014,0.0165872656687659,-0.0051639405174782995,0.07205144260929043,0.05140323435966017,0.07568728888888886,0.04855235555555554,0.01160720344494814,0.002850878804104631,0.584,0.90572608938784,-0.2681830464961711,-0.4270512536576355,-0.47506298916335427
UIUC,300-400k,1187.0,1107.0,0.932603201347936,0.9122700926486415,0.09763993552168725,0.0680158082235217,-0.03758832461082338,0.060525154867437404,0.04092447208831633,0.09319009776424371,0.0656693561383383,-0.039413364355525504,0.09933629121865947,0.0704545454545455,-0.03204924081787763,0.02466304607020943,0.0150701863092822,-0.005483947380342541,0.06072904192764388,0.04186654185974363,0.06498392050587169,0.041431074977416424,0.009648486474659731,0.00043546688232720416,0.5582655826558266,0.92452324724073,-0.5440369397543903,-0.31425805272988355,-0.34099963049993615
UIUC,400-500k,388.0,377.0,0.9716494845360825,0.9463334558057495,0.09162209192666633,0.06612258128324194,-0.0651748301878451,0.049408438628050944,0.021274064738431166,0.08852924552608002,0.0653101633823399,-0.06250378674120212,0.09219788271727711,0.068,-0.06138238537060296,0.01738511869979969,0.01377211597385,-0.0004095652640053406,0.04947500700444196,0.021724296715238615,0.054659946949602085,0.022576657824933677,0.008667721654386009,-0.0008523611096950684,0.5278514588859416,0.9789578440687622,-0.4051052183658229,-0.3054570553802276,-0.31517243334195544
