model,repeat,Re_run1,Re_run2,n,alpha_min,alpha_max,mean_abs_errCD,median_abs_errCD,bias_errCD,mean_abs_dCL
E387A,E387A REPEAT,99800,99500,14,-3.95,10.32,0.04717107281719065,0.04413303549691837,-0.02760105974192655,0.006097898765455642
E387A,E387A REPEAT,149600,149600,8,-1.89,9.34,0.02051978033559495,0.009779251603720583,-0.009028761478102195,0.01807466702195632
E387A,E387A REPEAT,199800,202000,14,-3.94,11.33,0.02586071977872153,0.01911464281692863,0.008445304411313683,0.008649778206019866
E387A,E387A REPEAT,303100,302200,15,-3.91,10.34,0.019984842135851437,0.019113924050632808,-0.005851736178776397,0.012745826697090646
SD7003,SD7003 REPEAT,102000,99600,10,-2.93,10.81,0.08286093378384538,0.07759515791406496,0.0051265324039851375,0.00763258900783953
SD7003,SD7003 REPEAT,151800,153300,10,-2.93,10.82,0.04933368082953542,0.05173877012920798,-0.00800986914875063,0.005411991956976975
SD7003,SD7003 REPEAT,200800,201500,9,-2.92,10.33,0.05201336133810121,0.03932494825664701,0.03976164697436545,0.009158631758854539
SD7003,SD7003 REPEAT,300300,303700,15,-2.94,11.32,0.01500246983389236,0.01176616299232104,0.0002008135946044783,0.004594143092045213
pooled,all pairs,0,0,95,-3.95,11.33,0.03685767807105691,0.03235964873274193,-0.0010121373673088658,0.008674082695696857
