alpha,CL,CD,airfoil,Re,source
-3.98,-0.262,0.0238,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
-2.99,-0.17,0.0189,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
-1.9,-0.074,0.0136,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
-0.93,0.011,0.0138,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
0.11,0.122,0.0154,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
1.14,0.231,0.0163,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
2.17,0.403,0.0188,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
3.17,0.574,0.0171,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
4.26,0.693,0.0154,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
5.29,0.784,0.0147,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
6.32,0.873,0.017,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
7.33,0.945,0.0215,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
8.34,1.0,0.0269,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
9.36,1.051,0.0351,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
10.34,1.09,0.0437,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
11.39,1.105,0.0679,SD2030,100002,NREL_SR-500-34515_Selig_McGranahan_2004
