asb_name,n_coords,kulfan_rms_pct,kulfan_max_pct,max_thickness,max_camber,fit_ok
a18,41,1.338054493456915,1.8905439299449025,0.0727815009756028,0.03864669856460244,False
be50,43,0.9112127414652482,1.2710000000000001,0.07296174885397903,0.040362881899149924,False
e374,61,0.08298684080830841,0.29234668415870246,0.10924013477732589,0.02319043233566303,True
e387,61,0.15373152107267882,0.5533996103651218,0.09067640523918682,0.03652992121918111,True
fx63137,97,0.02185607231667523,0.09429887581440151,0.1372080839821249,0.05964098160591512,True
k3311,49,0.011451949033366052,0.03536426232652046,0.11032412375050633,0.0325479633860981,True
mh45,67,0.03158194643423319,0.09979658338580386,0.09824634255101503,0.017334807050583108,True
naca6409,399,0.1343356543844006,0.4284984980691315,0.09031109875393968,0.05881854948855173,True
r140,93,0.03591132902019636,0.15919901282844426,0.12042762172443057,0.004386544362087401,True
rg15,62,0.012478652998621729,0.055048379160697616,0.08914001355768691,0.017576738539619857,True
s1210,81,0.17558562147139195,0.5491349915568221,0.12028786912717782,0.07053747154623742,True
s1223,300,0.06637044551008404,0.23422387298171166,0.12158675826422684,0.08689239741943958,True
s6062,61,0.1279674927065975,0.48969755382675584,0.07944440424991397,0.017030135749396658,True
s7012,81,0.057318225947912874,0.19051126956001896,0.08736210501512764,0.019658855089875568,True
s7055,81,0.062072572657925255,0.21031567272155818,0.10498602443591724,0.0360257123722028,True
sd2030,61,0.014293713404280279,0.03863896800292248,0.085548268071457,0.022382604329235417,True
sd6060,61,0.1105230123362411,0.4059322044640456,0.103784133775421,0.019483517317002024,True
sd7003,61,0.12872302242626688,0.47078882601233,0.0850158317075757,0.015769875122099125,True
sd7032,61,0.16127231581122736,0.6279384104824353,0.09969615996578092,0.0379531865455231,True
sd7037,61,0.12112983086926486,0.41324553103956624,0.09208661951439612,0.029059434411777357,True
sd8000,61,0.12046634043969442,0.4382339368370035,0.08862824193040919,0.018152624938174298,True
sd8020,61,0.015098998040108155,0.046687800252233694,0.1008713711544197,2.571016062064696e-06,True
