R,v_tip,c_over_R,rpm,dP_pct_at_11p7,solidity,thrust_N,aircraft_kg,power_W,induced_frac,FM,CT_sigma,tip_mach,Re_75,Re_min,Re_max,all_inside_envelope,alpha_min,alpha_max
0.3,70,0.12,2228,2.1932657097939106,0.05289514533659141,13.863599999999998,5.654775076096322,87.88532044804892,0.7977178278380687,0.7056973072427015,0.1544314172708154,0.20570085218924478,102490.77067327392,28765.999572961435,120299.71458259925,False,0.9470155349432949,18.684383663076925
0.3,70,0.16,2228,2.152291181787124,0.07052686044878854,13.863599999999998,5.654775076096322,85.6815462998279,0.8013912191883877,0.7238482023876243,0.11582356205742106,0.20570085218924478,136651.30604796283,38354.666097281915,160280.23235435292,False,-0.7525109217633521,16.523989731122455
0.3,70,0.2,2228,2.1985221781364523,0.08815857556098568,13.863599999999998,5.654775076096322,85.37329331168564,0.7968820774094584,0.7264617659789967,0.09265884980502609,0.20570085218924478,170814.0874251755,47943.332621602385,200213.7332731073,False,-1.4869812327258418,15.326909462347361
0.3,85,0.12,2706,2.754038052318299,0.05289514533659141,13.863599999999998,5.654775076096322,91.3317836354227,0.7465235844542708,0.6790673560997958,0.10473549277677385,0.24977960622979728,124257.84652163438,35866.15053625142,145721.45458667332,False,-1.1038839900869144,3.6522948996759586
0.3,85,0.16,2706,2.8673624354431357,0.07052686044878854,13.863599999999998,5.654775076096322,92.4512738679949,0.7359033554519115,0.6708445380521277,0.07855161896545311,0.24977960622979728,165680.1269739204,47898.34833864162,194209.22612404716,False,-2.0556950902982583,1.9692485097887589
0.3,85,0.2,2706,3.181084741648793,0.08815857556098568,13.863599999999998,5.654775076096322,96.36877879983643,0.7074986967487112,0.6435739352543964,0.06284129658924743,0.24977960622979728,207112.80877034643,59971.845516951726,242690.52962493975,False,-2.526362131603604,1.0123016390647486
0.3,100,0.12,3183,3.558760883191506,0.05289514533659141,13.863599999999998,5.654775076096322,99.74366806576631,0.6736298449454959,0.6217981988190251,0.07567139377988541,0.2938583602703497,146057.8615531246,41986.52431430328,171245.1113788911,False,-2.2516490471746993,2.1551268023886747
0.3,100,0.16,3183,4.03017687014446,0.07052686044878854,13.863599999999998,5.654775076096322,107.1171898542146,0.6316860420085658,0.5789960813521277,0.05675354534964433,0.2938583602703497,194744.6375855315,56119.14441779595,228262.6039185778,False,-2.8117647209328513,0.9274315833194642
0.3,100,0.2,3183,4.527490573060435,0.08815857556098568,13.863599999999998,5.654775076096322,116.05559970967445,0.5879842996594861,0.5344027964336503,0.04540283816140522,0.2938583602703497,243414.02101800073,70282.4048135773,285278.08578737447,True,-3.0923577166986487,0.16407742427997313
0.3,115,0.12,3661,4.630232595855566,0.05289514533659141,13.863599999999998,5.654775076096322,116.41092828847235,0.5787671972181325,0.5327715741971978,0.057218445430432946,0.3379371143109022,167873.8770946317,48162.49318310276,196819.98811956,False,-2.9173689083727337,1.254479015683447
