tunnel,n,n_xfoil_converged,frac_converged,mean_conf,mean_abs_errCD_NF_WT_all,median_abs_errCD_NF_WT_all,bias_CD_NF_WT_all,mean_abs_dCL_NF_WT_all,bias_CL_NF_WT_all,mean_abs_errCD_NF_WT,median_abs_errCD_NF_WT,bias_CD_NF_WT,mean_abs_errCD_XF_WT,median_abs_errCD_XF_WT,bias_CD_XF_WT,mean_abs_errCD_NF_XF,median_abs_errCD_NF_XF,bias_CD_NF_XF,mean_abs_dCL_NF_WT,bias_CL_NF_WT,mean_abs_dCL_XF_WT,bias_CL_XF_WT,mean_abs_dCL_NF_XF,bias_CL_NF_XF,frac_NF_closer_than_XF,corr_signed_NF_WT_vs_XF_WT,corr_conf_abs_NF_XF,corr_conf_abs_NF_WT,corr_conf_abs_XF_WT
Princeton,4702.0,4606.0,0.9795831561037857,0.9549973847382773,0.11103831050718313,0.07485051790305774,0.013080435786081531,0.0858021568383796,0.04605424523886928,0.10922641320964603,0.07388736072300744,0.01321676029096456,0.11372677780818526,0.07398536597716275,0.02022733820996772,0.024375496189640022,0.01599243963067445,-0.004795681667167173,0.08592881119816949,0.046398635477636216,0.08776057316543635,0.046653842813721216,0.009303724502113428,-0.0002552073360849934,0.5256187581415545,0.9544401768473557,-0.2994767836904574,-0.27644704575144746,-0.3287089494574484
UIUC,4428.0,4208.0,0.950316169828365,0.9138409572343035,0.12315532634754045,0.0814984349470042,0.003700219471793203,0.07152104194018097,0.0392721664555204,0.11542886484150382,0.07925492374998469,-0.0013022691571279185,0.1290451815474837,0.08176771705890175,0.01364368853858222,0.0317732205668623,0.0177196395947525,-0.009163553462753318,0.07101377664788132,0.04059984131451378,0.07550047528517106,0.03624182509505702,0.013264887118285492,0.004358016219456755,0.5753326996197718,0.9407362885710875,-0.3322655305967216,-0.3605229327031809,-0.41738650488455814
pooled,9130.0,8814.0,0.9653888280394305,0.9350367427900191,0.11691499683150978,0.07822281903096635,0.008531082243949143,0.07887589432258293,0.042764974170668976,0.1121876018262625,0.0767150247901123,0.0062850521088028705,0.1210401250892118,0.0786627940250672,0.01708415715514696,0.027907334648835772,0.01675418181616615,-0.0068810009904967055,0.078808041356144,0.043630161931185206,0.08190732924892215,0.04168291354663035,0.011194871800599025,0.0019472483845548614,0.549353301565691,0.9460215293058714,-0.3275712184083065,-0.3223546513054944,-0.38380341669080204
