SDA1075 (Deters, Ananda, Selig 2014, Table 4)
1.000137 0.005557
0.996593 0.005916
0.986424 0.007201
0.970307 0.009369
0.948605 0.012241
0.921585 0.015743
0.889621 0.019963
0.853243 0.024878
0.813012 0.030409
0.769531 0.036448
0.723430 0.042837
0.675369 0.049377
0.625945 0.055764
0.575694 0.061768
0.525145 0.067169
0.474806 0.071778
0.425168 0.075411
0.376692 0.077929
0.329814 0.079200
0.284932 0.079143
0.242417 0.077694
0.202594 0.074839
0.165758 0.070588
0.132147 0.065010
0.101982 0.058221
0.075425 0.050381
0.052643 0.041731
0.033775 0.032527
0.018960 0.023081
0.008287 0.013758
0.001894 0.005047
0.000280 -0.001921
0.004701 -0.007905
0.015056 -0.014217
0.030301 -0.020208
0.050355 -0.025609
0.075069 -0.030290
0.104265 -0.034146
0.137711 -0.037140
0.175126 -0.039253
0.216177 -0.040503
0.260479 -0.040926
0.307602 -0.040585
0.357073 -0.039554
0.408381 -0.037928
0.460985 -0.035812
0.514304 -0.033341
0.567727 -0.030638
0.620617 -0.027832
0.672308 -0.025029
0.722150 -0.022300
0.769510 -0.019711
0.813783 -0.017302
0.854396 -0.015105
0.890816 -0.013128
0.922559 -0.011366
0.949178 -0.009777
0.970411 -0.008207
0.986204 -0.006742
0.996295 -0.005793
0.999851 -0.005553
